siret,codePostalEtablissement,libelleCommuneEtablissement,longitude,latitude,denominationUniteLegale,categorieJuridiqueUniteLegale
43428577100011,20247,ROGLIANO,9.426079,42.972252,TRANSPORTS SCANIGLIA,5499
43431448000022,20240,GHISONACCIA,9.407919,42.067963,DU DOMAINE DE CAMPO LONGO,5710
43435060900013,20220,ALGAJOLA,8.858839,42.608145,STAR,5499
43435301700016,20230,SANTA-LUCIA-DI-MORIANI,9.527743,42.385001,P P B SARL,5499
43440026300019,20200,BASTIA,3.2126285,43.335961,CAP SANTE,5499
43443244900024,20213,PENTA-DI-CASINCA,9.505674,42.451789,SCI I FIENI 2,5499
43445885700019,20239,MURATO,9.329201,42.578328,SAN MIGHELE,5499
43446006900025,20260,CALVI,8.756001,42.566955,ACQUARUT,5710
43454047200025,20200,BASTIA,9.446831,42.692061,SARL POLYACT,5499
43456366400011,20200,BASTIA,9.435005,42.680318,SARL CABINET RODRIGUEZ,5499
43462552100027,20260,CALVI,8.755092,42.565822,CALVI 2B INFORMATIQUE,5710
43462965500011,20200,BASTIA,9.445515,42.68492,SOC D'EXPLOITATION JEUNE ET BELLE,5499
43462965500029,20200,BASTIA,9.449842,42.697813,SOC D'EXPLOITATION JEUNE ET BELLE,5499
43466654100033,20221,CERVIONE,9.545819,42.317349,PAILLETTES ET PIGMENTS,5499
43468808100034,20600,FURIANI,9.417183,42.652366,MEDICOR,5710
43470061300038,20290,LUCCIANA,9.465707,42.538785,AMBULANCES DE LUCCIANA,5499
43473112100019,20256,CORBARA,8.897172,42.62003,CORSI'4X4 TOUR,5499
43473141000024,20220,L'ILE ROUSSE,8.938354,42.634305,L'EDEN CAFE,5710
